Id;Year_Birth;Education;Marital_Status;Income;Price2014;Quantity2014;Price2015;Quantity2015
42690;1957;Master;Widow;57086.36;115.98;37;114.73;36
35610;1961;Master;Divorced;82498.84;121.74;40;120.51;39
33749;1958;Master;Together;47630.67;112.99;33;111.75;32
21003;1953;Graduation;Married;54997.89;116.78;35;115.55;34
30958;1984;Graduation;Widow;66974.72;118.28;38;117.05;38
24539;1958;Graduation;Single;54161.25;115.62;34;114.39;34
34193;1980;Master;Single;38220.84;114.04;31;112.81;30
43100;1969;Master;Together;38184.38;113.22;30;112;29
23692;1954;2n Cycle;Married;29982.51;107.53;30;106.29;30
7451;1987;PhD;Married;33231.86;108.41;26;107.18;26
27358;1949;Master;Divorced;93344.21;126.75;43;125.52;42
19126;1968;Graduation;Single;16264.89;107.07;26;105.83;25
24623;1975;Master;Married;52850.05;111.91;34;110.69;33
47022;1971;2n Cycle;Single;39157.47;113.52;28;112.28;27
20786;1951;Graduation;Married;54080.9;116.43;36;115.2;36
18497;1972;Graduation;Married;49678.83;111.5;33;110.25;32
443;1983;Graduation;Single;23276.98;107.76;29;106.53;28
30488;1962;Graduation;Single;31392.84;108.53;27;107.3;26
14334;1987;Graduation;Married;50162.88;111.24;35;109.99;34
45517;1969;PhD;Divorced;76010.22;121.67;40;120.44;39
11186;1958;Master;Divorced;34823.92;110.91;30;109.69;29
44611;1951;2n Cycle;Together;60924.28;119.71;37;118.48;36
22737;1983;PhD;Single;69516.7;117.97;37;116.74;36
6524;1963;Graduation;Together;54721.2;115.21;30;113.97;29
1894;1983;Master;Together;43585.53;109.2;30;107.97;29
10882;1972;Graduation;Together;37394.59;111.37;30;110.14;29
38850;1976;2n Cycle;Divorced;50796.74;114.13;32;112.89;31
47723;1958;Graduation;Married;36126.1;111.51;28;110.28;27
34807;1951;Graduation;Together;69820.18;122.52;40;121.26;39
2608;1978;Graduation;Together;45204.97;110.26;33;109.02;32
48987;1962;PhD;Together;76447.89;118.55;42;117.31;41
23319;1973;Graduation;Single;68690.75;114.97;39;113.74;38
31001;1986;Graduation;Married;74805.44;115.16;40;113.92;39
40370;1978;PhD;Single;25509.72;107.23;27;105.99;26
44680;1960;Master;Single;62771.89;118.18;36;116.95;35
16539;1950;Graduation;Married;41997.16;112.21;32;110.97;31
35644;1951;2n Cycle;Married;68682.01;118.45;37;117.2;36
16351;1972;Graduation;Single;91377.48;120.76;43;119.54;42
20780;1970;Master;Married;26900.59;108.84;29;107.61;28
34481;1969;Graduation;Married;59534.23;116.24;35;115.01;34
36437;1958;Master;Together;60179.55;121.47;35;120.23;34
46358;1983;Graduation;Together;51107.37;111.22;34;109.98;33
42404;1954;Master;Together;40499.56;112.69;30;111.47;29
9124;1971;Graduation;Married;72446.25;120.86;41;119.64;41
17577;1974;Graduation;Single;29683.57;108.4;29;107.16;28
31055;1957;2n Cycle;Married;89097.33;122.38;43;121.14;42
16074;1979;Master;Single;31349.11;109.45;30;108.2;29
2606;1966;Graduation;Married;78616.09;119.49;40;118.27;39
3162;1965;Basic;Together;33987.62;111.92;33;110.69;33
15820;1962;2n Cycle;Married;64010.33;117.69;35;116.44;34
39255;1987;Graduation;Together;88262.24;120.2;40;118.97;39
28973;1959;PhD;Married;58125.78;116.89;37;115.67;36
46688;1970;Graduation;Divorced;63916.41;115.3;36;114.07;35
8714;1969;2n Cycle;Single;7503.85;106.34;25;105.11;24
27364;1981;2n Cycle;Married;43054.78;110.22;30;108.99;29
14466;1969;PhD;Single;20525.32;102.82;25;101.58;25
31619;1986;Graduation;Together;65158.16;114.68;35;113.46;34
9613;1961;Graduation;Married;93600.05;123.92;42;122.7;41
354;1972;Graduation;Married;70167.17;120.35;37;119.12;36
48232;1978;Graduation;Single;25309.2;107.35;29;106.13;28
4478;1965;Master;Together;39742.7;113.33;32;112.09;32
5397;1980;Graduation;Married;38681.48;109.48;30;108.24;30
26588;1957;Graduation;Married;59048.1;116.8;37;115.56;36
8058;1967;Graduation;Married;81168.51;119.16;41;117.93;40
31409;1979;Master;Together;34939.33;109.73;30;108.5;30
3442;1989;Master;Widow;40591.64;110.87;31;109.63;30
36564;1982;2n Cycle;Together;69508.94;113.33;38;112.1;37
43289;1975;Graduation;Together;34538.1;111.37;30;110.13;30
18367;1971;Graduation;Together;28437.23;107.31;30;106.08;29
33991;1955;Master;Married;56702.97;117.54;34;116.31;33
8197;1987;Graduation;Together;51108.79;113.3;33;112.06;32
35555;1968;Graduation;Single;51398.34;114.39;34;113.16;33
11259;1980;PhD;Together;82797.63;121.02;41;119.8;40
36898;1972;Graduation;Married;89394.07;120.48;40;119.25;39
15785;1963;Master;Together;92889.92;122.85;45;121.62;44
40215;1973;Master;Together;59537.78;116.68;33;115.44;32
44210;1969;Master;Single;34734.04;111.04;34;109.81;33
20539;1973;Master;Single;33596.24;108.68;28;107.45;27
39642;1971;2n Cycle;Married;71946.39;115.96;41;114.72;40
15246;1950;PhD;Married;75070.42;119.68;41;118.46;41
47398;1990;Master;Single;69133.85;115.66;36;114.43;35
25826;1950;PhD;Single;39917.89;113.23;31;112.01;30
42257;1971;Graduation;Married;31158.21;110.1;25;108.86;24
25052;1964;Graduation;Married;24974.53;111.75;29;110.49;28
34382;1971;Graduation;Widow;71934.34;122.94;36;121.7;35
27929;1971;Graduation;Married;59045.28;116.45;36;115.24;35
3860;1960;Master;Together;43785.36;113.69;31;112.48;30
2643;1980;Graduation;Married;20056.35;105.75;26;104.51;25
19564;1971;Master;Together;48757.38;110.45;33;109.2;32
11272;1963;Graduation;Married;60989.19;116.73;38;115.51;37
13483;1964;Graduation;Together;41449.68;110.32;31;109.09;31
20148;1968;Graduation;Married;14792.06;105.12;26;103.88;25
24282;1991;Graduation;Together;27584.54;108.42;30;107.19;29
6907;1957;Master;Married;67105.62;118.83;34;117.59;33
12062;1983;Master;Single;84489.98;119.18;42;117.94;41
36265;1989;PhD;Married;61318.76;115.67;36;114.44;35
22142;1973;Graduation;Together;39723.55;111.93;30;110.72;29
38113;1948;Graduation;Married;78651.78;119.79;40;118.56;40
48741;1950;PhD;Married;27682.1;105.9;29;104.66;28
28221;1986;PhD;Single;74205.11;114.38;39;113.15;38
7779;1978;Graduation;Single;41642.87;108.34;30;107.11;29
6765;1972;Graduation;Married;73951.71;119.96;39;118.74;38
36148;1954;Master;Single;85694.69;123.69;40;122.45;39
44520;1978;Graduation;Married;33697.12;110.6;27;109.38;27
24457;1972;PhD;Married;29733.39;108.39;28;107.16;27
9028;1962;Graduation;Single;26237.83;109.23;28;108;27
24910;1973;Graduation;Single;21875.44;103.42;27;102.19;26
5918;1949;Graduation;Married;50645.87;116.06;35;114.82;34
